specimenID,GUID_triplet,GUID_url,latitude,longitude,putative_sex,Family,Latin_name,County,year_collected,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Cd,Pb,skull_length,skull_height,skull_width,total_length,tail_length,hindfoot,county_decade_pop,closest_pop,closest_pop_size_atTime,pop_type,distance_to_pop,county_area_m
4167,MMNH:Mamm:4167,https://arctos.database.museum/guid/MMNH:Mamm:4167,45.0322,-93.3383,,Soricidae,Blarina brevicauda,Hennepin,1957,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,6.44,13.14,131,30,16,842854,Robbinsdale,16381,City,3.370228929,1570587028
4168,MMNH:Mamm:4168,https://arctos.database.museum/guid/MMNH:Mamm:4168,NA,NA,,Soricidae,Blarina brevicauda,Hennepin,1958,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.35,6.87,13.32,128,30,16,842854,,NA,,NA,1570587028
4426,MMNH:Mamm:4426,https://arctos.database.museum/guid/MMNH:Mamm:4426,45.0942,-93.3561,F,Sciuridae,Sciurus carolinensis,Hennepin,1958,4136.862424,208.5961817,15.25761751,1554.92772,1968.369341,464.1735844,0.065529575,0.230798945,2.371847025,56.51483382,0.078559252,5.028066786,9.104403545,42.54384352,134.4193935,0.479937343,0.215968928,4.067548157,34.49,19.38,27.19,484,219,66,842854,Brooklyn Park,10197,City,3.188596563,1570587028
4505,MMNH:Mamm:4505,https://arctos.database.museum/guid/MMNH:Mamm:4505,NA,NA,F,Vespertilionidae,Eptesicus fuscus,Hennepin,1958,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,5.62,8.95,120,44,12,842854,,NA,,NA,1570587028
3673,MMNH:Mamm:3673,https://arctos.database.museum/guid/MMNH:Mamm:3673,NA,NA,M,Vespertilionidae,Eptesicus fuscus,Hennepin,1959,50836.23433,130.4986605,22.95062091,1398.758587,769.8570505,341.6157,0.148159817,0.565072207,3.228841916,159.1386812,0.057631791,0.694137328,16.01110443,57.64475454,92.0928261,0.819476145,0.563354553,12.82752872,9.37,5.24,8.72,105,27,11,842854,,NA,,NA,1570587028
4893,MMNH:Mamm:4893,https://arctos.database.museum/guid/MMNH:Mamm:4893,NA,NA,F,Vespertilionidae,Eptesicus fuscus,Hennepin,1960,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39,5.57,8.53,116,42,13,842854,,NA,,NA,1570587028
5919,MMNH:Mamm:5919,https://arctos.database.museum/guid/MMNH:Mamm:5919,44.8547,-93.4706,M,Muridae,Peromyscus leucopus,Hennepin,1960,2477.058507,701.6741519,121.0835238,4153.718985,5488.998508,911.0645315,<LOD,1.145208015,9.255710685,367.7927424,0.106118926,1.261561468,26.10915223,101.2279951,218.5979029,2.141152595,0.518014521,53.78754098,15.19,7.97,11.4,160,70,21,842854,Eden Prairie,6938,City,3.842826563,1570587028
5716,MMNH:Mamm:5716,https://arctos.database.museum/guid/MMNH:Mamm:5716,45.0408,-93.2628,M,Sciuridae,Sciurus carolinensis,Hennepin,1962,14571.21837,284.3237435,23.48648165,1999.187544,3608.067287,320.9411953,0.215450402,1.112586449,10.60488427,57.42775082,0.061954476,1.424232317,10.89284647,61.84296419,88.67981114,0.275550086,0.430887197,13.97929941,36.42,18.76,26.3,480,214,63,842854,Columbia Heights,17533,City,3.507769846,1570587028
8562,MMNH:Mamm:8562,https://arctos.database.museum/guid/MMNH:Mamm:8562,45.0751,-93.7321,F,Soricidae,Blarina brevicauda,Hennepin,1967,26452.87203,525.4030516,22.26265224,2761.320406,5534.538737,1004.112144,0.07367911,0.409800666,7.05361171,193.2499845,0.112034346,0.494047547,9.466590381,106.8176569,35.84635639,0.891606062,0.151658218,1.994625253,11.36,6.71,12.57,127,25,16,960080,Rockford,730,City,1478.799549,1570587028
8567,MMNH:Mamm:8567,https://arctos.database.museum/guid/MMNH:Mamm:8567,45.0751,-93.7321,M,Soricidae,Blarina brevicauda,Hennepin,1967,31461.63521,516.4632805,25.52719248,2886.161312,6121.906481,861.2501132,0.05891501,0.892117275,4.748890854,105.809041,0.094211288,0.618955581,5.743588525,87.93324615,75.11548767,0.999817823,0.147223585,5.021379685,11.57,6.73,12.95,127,26,17,960080,Rockford,730,City,1478.799549,1570587028
